seqnames start end width strand midpoint annot
chr10 87000704 87502107 501404 * 87251405.5 SDs
chr11 4217925 4366456 148532 * 4292190.5 SDs
chr11 48352146 48475331 123186 * 48413738.5 SDs
chr11 50033330 50137117 103788 * 50085223.5 SDs
chr11 54525077 54629897 104821 * 54577487 SDs
chr11 61195446 61218347 22902 * 61206896.5 SDs
chr11 71584542 71884973 300432 * 71734757.5 SDs
chr11 88772473 89085955 313483 * 88929214 SDs
chr11 89755617 90084469 328853 * 89920043 SDs
chr12 5666989 5677466 10478 * 5672227.5 SDs
chr12 9301292 9582450 281159 * 9441871 SDs
chr12 31042401 31107931 65531 * 31075166 SDs
chr12 34718906 34804797 85892 * 34761851.5 Centromere
chr12 37245844 37589574 343731 * 37417709 SDs
chr12 54076141 54126979 50839 * 54101560 SDs
chr12 63559030 63708428 149399 * 63633729 SDs
chr13 34917292 35134122 216831 * 35025707 SDs
chr13 52172971 52536924 363954 * 52354947.5 SDs
chr13 63027246 63842741 815496 * 63434993.5 SDs
chr13 91859182 92138569 279388 * 91998875.5 SDs
chr13 111703855 111843441 139587 * 111773648 SDs
chr14 27494191 27861888 367698 * 27678039.5 SDs
chr14 105573167 106348544 775378 * 105960855.5 SDs
chr15 28193754 28856502 662749 * 28525128 SDs
chr15 30081165 30825762 744598 * 30453463.5 SDs
chr15 31617777 32632914 1015138 * 32125345.5 SDs
chr15 34376474 34559762 183289 * 34468118 SDs
chr15 43555897 43748225 192329 * 43652061 SDs
chr15 47046086 47215145 169060 * 47130615.5 SDs
chr15 49472453 49488540 16088 * 49480496.5 SDs
chr15 72620602 72671198 50597 * 72645900 SDs
chr15 74066079 74089072 22994 * 74077575.5 SDs
chr15 75271108 75712693 441586 * 75491900.5 SDs
chr15 77910498 78000762 90265 * 77955630 SDs
chr15 82302244 82828027 525784 * 82565135.5 SDs
chr15 84165429 85255439 1090011 * 84710434 SDs
chr16 1229227 1257026 27800 * 1243126.5 SDs
chr16 2095103 2137716 42614 * 2116409.5 SDs
chr16 11926722 12041011 114290 * 11983866.5 SDs
chr16 14705994 15378933 672940 * 15042463.5 SDs
chr16 16200416 16762358 561943 * 16481387 SDs
chr16 18073041 18931321 858281 * 18502181 SDs
chr16 20419113 22591719 2172607 * 21505416 SDs
chr16 28342594 28449543 106950 * 28396068.5 SDs
chr16 29376791 30328388 951598 * 29852589.5 SDs
chr16 31550678 31977739 427062 * 31764208.5 SDs
chr16 34571510 34960516 389007 * 34766013 SDs
chr16 36009667 36260386 250720 * 36135026.5 SDs
chr16 46381055 46455427 74373 * 46418241 SDs
chr16 69943593 70205998 262406 * 70074795.5 SDs
chr16 74372019 74525429 153411 * 74448724 SDs
chr16 87475261 88087816 612556 * 87781538.5 SDs
chr17 15567284 17010151 1442868 * 16288717.5 SDs
chr17 18385722 19212206 826485 * 18798964 SDs
chr17 20301614 21351643 1050030 * 20826628.5 SDs
chr17 26589604 26733630 144027 * 26661617 Centromere
chr17 30616162 31261496 645335 * 30938829 SDs
chr17 31986826 32096448 109623 * 32041637 SDs
chr17 36178367 36458154 279788 * 36318260.5 SDs
chr17 37909688 38500419 590732 * 38205053.5 SDs
chr17 45467812 47594562 2126751 * 46531187 SDs
chr17 59572924 60382010 809087 * 59977467 SDs
chr17 62220135 62298441 78307 * 62259288 SDs
chr17 64814465 65004959 190495 * 64909712 SDs
chr17 79483469 79732541 249073 * 79608005 SDs
chr18 10623530 10655285 31756 * 10639407.5 SDs
chr18 12121042 12213326 92285 * 12167184 SDs
chr18 14117899 14403417 285519 * 14260658 SDs
chr18 20911213 20940378 29166 * 20925795.5 SDs
chr19 972586 1052265 79680 * 1012425.5 HGSVC
chr19 8747851 8801069 53219 * 8774460 SDs
chr19 24350063 24418830 68768 * 24384446.5 unannot
chr19 27240874 27270102 29229 * 27255488 Gap
chr19 32979222 33029699 50478 * 33004460.5 SDs
chr19 36265294 36310369 45076 * 36287831.5 SDs
chr19 37268627 37306174 37548 * 37287400.5 SDs
chr19 43179688 43337180 157493 * 43258434 SDs
chr19 47910031 47959635 49605 * 47934833 SDs
chr19 50091314 50113071 21758 * 50102192.5 SDs
chr20 25752456 25845152 92697 * 25798804 SDs
chr20 31157036 31183792 26757 * 31170414 Gap
chr21 27844130 28063609 219480 * 27953869.5 SDs
chr22 18174837 19036296 861460 * 18605566.5 SDs
chr22 20337732 22645427 2307696 * 21491579.5 SDs
chr22 24176962 24643592 466631 * 24410277 SDs
chr22 29878598 29902166 23569 * 29890382 SDs
chr22 31058091 31079867 21777 * 31068979 SDs
chr22 38110054 38382721 272668 * 38246387.5 SDs
chrX 850266 1154771 304506 * 1002518.5 SDs
chrX 1678989 2320497 641509 * 1999743 Gap
chrX 37085008 37285837 200830 * 37185422.5 SDs
chrX 48263068 48430366 167299 * 48346717 SDs
chrX 49314222 49626206 311985 * 49470214 SDs
chrX 51644758 51965528 320771 * 51805143 SDs
chrX 52624527 52956020 331494 * 52790273.5 SDs
chrX 58533782 58553847 20066 * 58543814.5 Gap
chrX 62489055 63251007 761953 * 62870031 SDs
chrX 71731559 73077515 1345957 * 72404537 SDs
chrX 101796759 102452439 655681 * 102124599 SDs
chrX 115725592 115869086 143495 * 115797339 SDs
chrX 120050313 120185614 135302 * 120117963.5 SDs
chrX 135133669 135889915 756247 * 135511792 SDs
chrX 140998235 141697715 699481 * 141347975 SDs
chrX 152692059 152749304 57246 * 152720681.5 SDs
chrX 154147802 154632969 485168 * 154390385.5 SDs
chrX 155303860 155504551 200692 * 155404205.5 SDs
